交易日期,縣市,鄉鎮市區,土地位置建物門牌,建物型態,建坪,屋齡,總價_萬,單價_萬每坪,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建築完成年月,移轉層次,總樓層數
2026-04-08,新北市,板橋區,新北市板橋區重慶路９１巷２０號一樓,公寓(5樓含以下無電梯),21.047950789298152,48.7,1920.0,91.22016186850001,4,2,2,0660808,一層,五層
2026-04-07,新北市,板橋區,新北市板橋區民生路二段２２６巷３２號二樓,公寓(5樓含以下無電梯),23.434675878800345,49.2,1250.0,53.339832710500005,2,1,1,0660119,二層,四層
2026-04-07,新北市,板橋區,新北市板橋區華江一路７８號十五樓,住宅大樓(11層含以上有電梯),42.897526608657245,2.8,2762.0,64.386113288,2,2,2,1120620,十五層,十五層
2026-04-06,新北市,板橋區,新北市板橋區南雅南路二段１４４巷８２號六樓,住宅大樓(11層含以上有電梯),44.78512667944225,37.3,2426.0,54.169915324,4,2,2,0771229,六層,十三層
2026-04-06,新北市,板橋區,新北市板橋區國慶路１５８巷２２號十二樓,住宅大樓(11層含以上有電梯),23.059575864734096,18.7,1550.0,67.217187562,2,2,1,0960723,十二層,十五層
2026-04-05,新北市,板橋區,新北市板橋區中山路二段４６５巷４０弄３號三樓,華廈(10層含以下有電梯),28.177876056670353,30.1,1250.0,44.360990072,3,2,2,0850302,三層,七層
2026-04-05,新北市,板橋區,新北市板橋區雙十路二段１３０巷２弄１１號十三樓,住宅大樓(11層含以上有電梯),14.565375546201581,2.3,1350.0,92.68561635900001,1,1,1,1121221,十三層,十四層
2026-04-05,新北市,板橋區,新北市板橋區中山路二段５３１巷２８號,公寓(5樓含以下無電梯),31.64755118678317,,2080.0,65.7239644775,0,0,1,,一層，騎樓,五層
2026-04-02,新北市,板橋區,新北市板橋區中山路二段４１２巷２９弄８之１號九樓,住宅大樓(11層含以上有電梯),42.48007659300287,11.6,2330.0,63.467766215,2,1,2,1030808,九層,二十一層
2026-04-01,新北市,板橋區,新北市板橋區民族路２４０號四樓,住宅大樓(11層含以上有電梯),29.28200109807504,4.9,2158.0,73.69718731900001,3,2,2,1100427,四層,二十六層
2026-04-01,新北市,板橋區,新北市板橋區華江一路１６８號十二樓,住宅大樓(11層含以上有電梯),41.457626554661,7.3,2552.0,66.1788404935,3,2,2,1071227,十二層,十九層
2026-03-31,新北市,板橋區,新北市板橋區廣和街６８號十三樓,住宅大樓(11層含以上有電梯),29.66920111259504,17.4,1575.0,58.74941928450001,2,2,1,0971120,十三層,十三層
2026-03-31,新北市,板橋區,新北市板橋區長安街３３１巷２９號二樓,公寓(5樓含以下無電梯),26.901326008799725,50.7,1220.0,45.3510726795,3,1,1,0640710,二層,四層
2026-03-30,新北市,板橋區,新北市板橋區光武街５０巷３１號,住宅大樓(11層含以上有電梯),72.29750271115634,14.0,4242.0,66.920328069,4,2,2,1010409,一層,十四層
2026-03-30,新北市,板橋區,新北市板橋區僑中二街９２巷２４號二樓,公寓(5樓含以下無電梯),24.51762591941097,,900.0,36.708428375500006,3,2,1,,二層,五層
2026-03-29,新北市,板橋區,新北市板橋區南雅西路一段６５號二樓,公寓(5樓含以下無電梯),28.58020107175754,,1128.0,39.467767115,3,2,1,,二層，陽台,五層
2026-03-29,新北市,板橋區,新北市板橋區南雅東路２７之３號十五樓,住宅大樓(11層含以上有電梯),13.497550506158142,18.6,1065.0,78.903137537,1,1,1,0960814,十五層,十五層
2026-03-29,新北市,板橋區,新北市板橋區海山路５號五樓之一,華廈(10層含以下有電梯),10.454400392040014,29.3,800.0,76.5226417585,1,0,1,0851225,五層,七層
2026-03-28,新北市,板橋區,新北市板橋區宏國路２５號十三樓,住宅大樓(11層含以上有電梯),53.297476998655384,21.8,3250.0,60.97851011000001,4,2,2,0930601,十三層,十三層
2026-03-22,新北市,板橋區,新北市板橋區藝文街１１６號十四樓,住宅大樓(11層含以上有電梯),31.187751169540665,6.5,1668.0,66.390741312,2,1,1,1081004,十四層,十五層
2026-03-18,新北市,板橋區,新北市板橋區松江街７２巷２０號三樓,公寓(5樓含以下無電梯),25.62175096081566,,1420.0,55.4218161035,4,2,1,,三層,四層
2026-03-17,新北市,板橋區,新北市板橋區大明街２０巷１９弄１１號三樓,公寓(5樓含以下無電梯),28.229301058598786,48.3,1058.0,37.478676280500004,3,2,1,0661214,三層，陽台,五層
2026-03-17,新北市,板橋區,新北市板橋區國慶路１４９巷２弄１１號四樓,公寓(5樓含以下無電梯),22.971850861444405,43.0,965.0,42.007932309000005,3,2,1,0720308,四層,五層
2026-03-17,新北市,板橋區,新北市板橋區僑中一街１２５巷８弄１號四樓,公寓(5樓含以下無電梯),27.264326022412224,,850.0,31.176197178000002,3,2,2,,四層,五層
2026-03-17,新北市,板橋區,新北市板橋區漢生東路３２７號十五樓,住宅大樓(11層含以上有電梯),61.359102300966335,18.3,4118.0,71.35470806800001,4,2,2,0961207,十五層,十五層
2026-03-16,新北市,板橋區,新北市板橋區環河西路四段８０１號十四樓,住宅大樓(11層含以上有電梯),81.24545304670448,1.5,5960.0,82.901815073,4,2,3,1130913,十四層,十八層
2026-03-14,新北市,板橋區,新北市板橋區南雅南路一段２５號十一樓,住宅大樓(11層含以上有電梯),35.4893013308488,14.0,2350.0,74.7633029815,2,2,1,1010308,十一層,十五層
2026-03-14,新北市,板橋區,新北市板橋區漢生東路１４１號四樓,公寓(5樓含以下無電梯),24.42082591578097,46.2,1460.0,59.785121724999996,3,2,1,0681217,四層，陽台,五層
2026-03-14,新北市,板橋區,新北市板橋區新海路４３０巷４號四樓,公寓(5樓含以下無電梯),22.878075857927843,,690.0,30.159998869000002,2,1,1,,四層，陽台,五層
2026-03-11,新北市,板橋區,新北市板橋區新府路３２號二十樓,住宅大樓(11層含以上有電梯),45.85295171948568,1.2,4700.0,120.28528474550001,3,2,2,1131218,二十層,二十四層
2026-03-08,新北市,板橋區,新北市板橋區莊敬路３８之３號十七樓,住宅大樓(11層含以上有電梯),15.031225563670956,27.9,1450.0,96.46578150650001,2,1,2,0870416,十七層,十九層
2026-03-07,新北市,板橋區,新北市板橋區中山路二段９０巷１３號十三樓,住宅大樓(11層含以上有電梯),47.407801777792564,20.9,2172.0,50.064791511,1,2,1,0940330,十三層,十四層
2026-03-07,新北市,板橋區,新北市板橋區中山路二段９０巷１５號十三樓,住宅大樓(11層含以上有電梯),47.501576781309126,20.9,2172.0,49.942808044500005,4,0,2,0940330,十三層,十四層
2026-03-06,新北市,板橋區,新北市板橋區漢生西路１７１號四樓,住宅大樓(11層含以上有電梯),20.71217577670659,5.6,1717.0,82.8981787095,2,2,1,1090727,四層,二十三層
2026-03-05,新北市,板橋區,新北市板橋區華興街２１巷１４號二樓,公寓(5樓含以下無電梯),31.81392619302223,,1680.0,52.806940168500006,3,2,2,,二層,五層
2026-03-02,新北市,板橋區,新北市板橋區龍泉街８７號五樓,公寓(5樓含以下無電梯),29.530051107376917,,850.0,28.784131152,3,2,2,,五層,五層
2026-03-02,新北市,板橋區,新北市板橋區新生街６４之１號三樓,華廈(10層含以下有電梯),37.20447639516786,33.9,1570.0,42.1993372605,5,2,2,0810423,三層,七層
2026-03-01,新北市,板橋區,新北市板橋區金門街３１巷３２號八樓,住宅大樓(11層含以上有電梯),47.843401794127566,27.3,1720.0,35.9507424535,3,2,2,0871120,八層,十三層
2026-02-28,新北市,板橋區,新北市板橋區四川路二段２５５號二十六樓,住宅大樓(11層含以上有電梯),38.44775144179067,16.6,2250.0,76.3599971365,2,2,1,0980810,二十六層,二十九層
2026-02-27,新北市,板橋區,新北市板橋區建國街３３號三樓,公寓(5樓含以下無電梯),22.60582584771847,52.6,1210.0,53.525948406000005,2,2,1,0620727,三層，陽台,四層
2026-02-26,新北市,板橋區,新北市板橋區光正街４５巷６弄６號,公寓(5樓含以下無電梯),24.88062593302347,50.1,2080.0,83.59933570800001,3,2,2,0650116,一層，平台,四層
2026-02-26,新北市,板橋區,新北市板橋區長江路一段５９號二樓,華廈(10層含以下有電梯),33.420201253257545,27.7,1330.0,39.796362144,3,2,2,0870701,二層,七層
2026-02-26,新北市,板橋區,新北市板橋區金華街１０巷１２０號四樓,公寓(5樓含以下無電梯),23.274350872788155,49.1,1100.0,47.2624775665,5,3,2,0660127,四層,四層
2026-02-24,新北市,板橋區,新北市板橋區龍泉街５５巷２８弄８號二樓,公寓(5樓含以下無電梯),31.03650116386879,37.3,1250.0,40.275039812,3,3,2,0771020,三層，夾層,五層
2026-02-21,新北市,板橋區,新北市板橋區華江一路１１７號十四樓之３,住宅大樓(11層含以上有電梯),35.746426340490984,2.5,2202.0,73.228427006,3,2,1,1120908,十四層,十九層
2026-02-14,新北市,板橋區,新北市板橋區華江三路５６號十三樓,住宅大樓(11層含以上有電梯),31.05162616443598,5.6,1875.0,81.43173248350001,1,2,1,1090624,十三層,十四層
2026-02-11,新北市,板橋區,新北市板橋區漢生東路６３巷３９號二樓,公寓(5樓含以下無電梯),21.483550805633154,48.4,1200.0,55.85652683100001,3,2,1,0661004,二層,四層
2026-02-10,新北市,板橋區,新北市板橋區藝文街３６８號二樓,住宅大樓(11層含以上有電梯),37.16515139369317,5.5,1710.0,53.782477322,2,2,1,1090804,二層,十八層
2026-02-08,新北市,板橋區,新北市板橋區松柏街５０巷５７號三樓,住宅大樓(11層含以上有電梯),36.10942635410349,14.5,3016.0,83.52396381000001,3,2,2,1000826,三層,十三層
2026-02-07,新北市,板橋區,新北市板橋區漢生東路１７６號七樓,住宅大樓(11層含以上有電梯),107.6143790355392,16.8,7500.0,76.896526042,3,2,3,0980403,七層,二十八層
2026-02-04,新北市,板橋區,新北市板橋區華江一路６３２號十樓,住宅大樓(11層含以上有電梯),43.850401644390054,3.1,2850.0,64.99371657100001,3,2,2,1111222,十層,十九層
2026-02-03,新北市,板橋區,新北市板橋區文化路二段７１號九樓,住宅大樓(11層含以上有電梯),32.836376231364106,0.2,2000.0,60.90809688950001,2,2,1,1141120,九層,二十三層
2026-02-03,新北市,板橋區,新北市板橋區滿平街１３６巷６弄２號二樓,公寓(5樓含以下無電梯),24.454100917028786,48.0,700.0,28.625122893500002,2,2,1,0670122,二層,四層
2026-02-03,新北市,板橋區,新北市板橋區龍泉街１２０號六樓,住宅大樓(11層含以上有電梯),20.294725761052216,30.6,1196.0,58.931568038,0,2,1,0840617,六層,十五層
2026-02-02,新北市,板橋區,新北市板橋區貴興路８８號十六樓,住宅大樓(11層含以上有電梯),78.24465293417448,31.8,3232.0,41.306444732,4,2,2,0830425,十六層,十六層
2026-02-01,新北市,板橋區,新北市板橋區華江三路２１６號二十一樓,住宅大樓(11層含以上有電梯),37.04415138915567,0.6,2538.0,79.9428069195,2,1,1,1140702,二十一層,二十二層
