交易日期,縣市,鄉鎮市區,土地位置建物門牌,建物型態,建坪,屋齡,總價_萬,單價_萬每坪,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建築完成年月,移轉層次,總樓層數
2026-01-22,新北市,永和區,新北市永和區安樂路１９４巷１６弄４號,公寓(5樓含以下無電梯),34.75725130339692,48.5,1910.0,54.952725212000004,3,2,1,0660726,一層，平台,四層
2026-01-21,新北市,永和區,新北市永和區永和路一段１８巷８號五樓之二,住宅大樓(11層含以上有電梯),37.70360141388505,30.3,2380.0,63.123964575,3,2,2,0840925,五層,十四層
2026-01-21,新北市,永和區,新北市永和區永和路二段３３６號三樓,公寓(5樓含以下無電梯),16.79782562991846,57.9,750.0,44.648593367,3,2,1,0570305,三層,四層
2026-01-20,新北市,永和區,新北市永和區永平路８１巷１２號七樓之九,華廈(10層含以下有電梯),17.762800666105022,33.4,930.0,52.35669225150001,2,1,1,0810819,七層,十層
2026-01-19,新北市,永和區,新北市永和區民生路６７巷５１號,公寓(5樓含以下無電梯),23.474000880275028,51.9,1550.0,66.030410747,2,1,1,0630211,一層，平台,四層
2026-01-19,新北市,永和區,新北市永和區自由街５４號四樓,住宅大樓(11層含以上有電梯),29.1337760925166,43.0,1500.0,51.4866096395,3,2,2,0720127,四層,十二層
2026-01-17,新北市,永和區,新北市永和區環河西路二段２４５之２號四樓之三,住宅大樓(11層含以上有電梯),27.379276026722852,23.6,1600.0,58.438344916000005,2,2,1,0910613,四層,二十三層
2026-01-17,新北市,永和區,新北市永和區保安路２７２號二樓,住宅大樓(11層含以上有電梯),45.196526694869746,26.5,2567.0,75.396360809,3,2,2,0880804,二層,二十五層
2026-01-17,新北市,永和區,新北市永和區仁愛路１８號三樓,華廈(10層含以下有電梯),23.843050894114405,43.1,1580.0,66.2667743745,2,2,1,0711127,三層,七層
2026-01-15,新北市,永和區,新北市永和區民生路４６巷２４號五樓,住宅大樓(11層含以上有電梯),34.88732630827474,30.2,2300.0,65.92660909800001,3,2,2,0841021,五層,十六層
2026-01-15,新北市,永和區,新北市永和區保平路２３６巷７弄６號二樓,公寓(5樓含以下無電梯),43.05180161444255,36.0,2350.0,54.585452498500004,3,2,2,0790119,二層,五層
2026-01-14,新北市,永和區,新北市永和區安樂路７４號四樓,公寓(5樓含以下無電梯),29.566351108738164,46.0,1458.0,49.3127254235,3,2,1,0690125,四層，陽台,五層
2026-01-13,新北市,永和區,新北市永和區民生路２０號三樓,公寓(5樓含以下無電梯),16.589100622091273,49.5,900.0,54.252559949,2,2,1,0650630,三層,四層
2026-01-07,新北市,永和區,新北市永和區永和路一段７２巷２７號八樓,住宅大樓(11層含以上有電梯),23.395350877325658,0.5,1918.0,81.98214568600001,3,1,1,1140624,八層,二十三層
2026-01-06,新北市,永和區,新北市永和區永安街３３巷２號九樓,住宅大樓(11層含以上有電梯),43.46017662975662,34.0,2510.0,57.754047421,4,2,2,0810113,九層,十一層
2026-01-05,新北市,永和區,新北市永和區仁愛路３０６巷２７號六樓,華廈(10層含以下有電梯),29.808351117813167,3.0,2200.0,88.22479008,2,2,1,1120119,六層,九層
2026-01-04,新北市,永和區,新北市永和區永元路５２巷２０號,公寓(5樓含以下無電梯),23.87632589536222,54.7,1938.0,81.168261419,3,2,2,0600419,一層,四層
2026-01-01,新北市,永和區,新北市永和區中正路５８５號五樓,住宅大樓(11層含以上有電梯),43.73847664019287,39.1,1950.0,44.583138824,4,2,2,0751126,五層,十一層
2025-12-31,新北市,永和區,新北市永和區博愛街２號五樓,住宅大樓(11層含以上有電梯),29.893051120989412,8.9,2392.0,80.01850939600001,3,1,2,1060123,五層,十五層
2025-12-30,新北市,永和區,新北市永和區成功路二段６７號五樓,住宅大樓(11層含以上有電梯),78.69840295119012,21.9,3700.0,47.01487427,4,2,3,0930205,五層,二十二層
2025-12-30,新北市,永和區,新北市永和區永和路一段４８號十一樓,住宅大樓(11層含以上有電梯),38.744201452907554,35.1,2270.0,58.589419290500004,3,2,2,0791211,十一層,十一層
2025-12-29,新北市,永和區,新北市永和區中山路一段２５５巷３號二樓,華廈(10層含以下有電梯),34.122001279575045,43.0,1500.0,43.959998351500005,3,2,2,0711214,二層,七層
2025-12-29,新北市,永和區,新北市永和區永平路７號,透天厝,55.29700207363758,56.5,3800.0,68.71966684450001,2,4,3,0580620,全,四層
2025-12-29,新北市,永和區,新北市永和區永貞路３７８巷１２號五樓,公寓(5樓含以下無電梯),18.912300709211276,45.4,1162.0,61.441650588499996,3,3,3,0690820,五層，陽台,五層
2025-12-28,新北市,永和區,新北市永和區福和路３５３號十一樓之一,住宅大樓(11層含以上有電梯),18.376875689132838,44.0,1125.0,61.2181795225,2,1,1,0701229,十一層,十二層
2025-12-27,新北市,永和區,新北市永和區保平路１７４巷９號一、二樓,公寓(5樓含以下無電梯),30.861051157289417,49.6,2100.0,68.046939597,3,2,2,0650518,一層，二層，騎樓,四層
